English,Japanese
Night mode,夜間モード
Night Mode,ナイトモード
No cards are due yet.,このデッキの今日の課題はまだ残っていますが、どれもまだ学習予定時刻に達していません
No cards have been studied today.,今日はまだ1枚もカードを学習していません。
No cards matched the criteria you provided.,指定した条件に一致するカードはありませんでした。
"No cards matched the provided search. Some cards may have been excluded because they are in a different filtered deck, or suspended.",検索条件に一致するカードがありません。別のフィルターデッキ内にあるカードや休止中のカードが除外されている可能性があります。
No cards or notes selected.,カードまたはノートが選択されていません。
(No card to display.),（表示するカードがありません）
No changes since latest backup.,直近のバックアップから変更がありません。
"No cloze { $number } found on card.
Please either add a cloze deletion, or use the Empty Cards tool.",カード上に{ $number }番目の穴埋め問題がみつかりません。穴埋め問題を追加するか、[ツール] から [白紙カードをチェック] を実行してください。
NO DATA,データなし
[no deck],[デッキなし]
No empty cards.,白紙カードはありません。
No Flag,フラグなし
No float,左右への配置指定なし（後に続く内容の回り込みもなし）
No image found on clipboard.,クリップボードに画像が見つかりません。
No image to show.,表示する画像がありません
No mature cards were studied today.,今日は習熟期のカードを復習していません
No notes found in file.,ノートがファイル内で見つかりませんでした。
Not currently logged in to AnkiWeb.,現在、AnkiWebにログインしていません。
Note,ノート
Note,注意
Note,ノート
Note and its { $count } cards deleted.,ノートと{ $count }枚のカードを削除しました。
Note buried.,ノートを延期しました。
(Note deleted),(ノートを削除しました)
Note ID,ノート ID
Note: Media is not backed up. Please create a periodic backup of your Anki folder to be safe.,注意: メディア（画像／音声／動画）ファイルはバックアップされていません。安全のために Anki のフォルダを定期的にバックアップしてください。
Note Modified,ノート更新日時
"Note not updated, as notetype has been modified since you first imported the note",このノートでの更新を行いませんでした（既存のノートのノートタイプが変更されているため）
"Note not updated, as notetype has been modified since you first imported the note, and '{ importing-merge-notetypes }' was not enabled",このノートでの更新を行いませんでした（ノートタイプが変更されており、かつ、「{ importing-merge-notetypes }」がオフになっているため）
Notes,ノート
Notes added from file: { $val },ファイルから追加したノート: { $val }枚
Notes found in file: { $val },ファイル内にあるノート: { $val }枚
Notes in Plain Text,テキストファイル形式のノート
"Note skipped, as an up-to-date copy is already in your collection",このノートのインポートをスキップしました（このノートの最新版がコレクション内にすでに存在するため）
"Note skipped, as its deck was missing",このノートのインポートをスキップしました（デッキが不明なため）
"Note skipped, as its first field is empty",このノートのインポートをスキップしました（最初のフィールドが空のため）
"Note skipped, as its notetype was missing",このノートのインポートをスキップしました（ノートタイプが不明なため）
"Notes not updated, as notetype has been modified since you first imported the notes: { $val }",ノートでの更新を行いませんでした（既存のノートのノートタイプが変更されているため）: { $val }枚
Notes require at least one field.,ノートには最低一つのフィールドが必要です。
"Notes skipped, as up-to-date copies are already in your collection: { $val }",すでにコレクション内に最新版が存在するためスキップされたノート: { $val }枚
Notes tagged.,ノートにタグを付けました。
Notes that could not be imported as note type has changed: { $val },ノートタイプが変更されたためインポートできなかったノート：{ $val }
"Notes updated, as file had newer version: { $val }",既存のノートを更新しました（より新しい版がファイル内にあるため）: { $val }個
Note suspended.,ノートを休止しました。
Notetype,ノートタイプ
Note Type,ノートタイプ
Notetype and deck,ノートタイプとデッキ
Notetype has been restored to its original state.,ノートタイプを元の状態に復元しました。
Note Types,ノートタイプ
Note Types,ノートタイプ
"Note updated, as file had newer version",既存のノートを更新しました（より新しい版がファイル内にあるため）
(Nothing),(なし)
Nothing,なし
Nothing to redo,やり直すものがありません
Nothing to undo,元に戻すものがありません
